ID,Date,GPSC
15608_3#90,2014,13
11826_1#25,1999.666667,13
11657_2#5,1998.333333,13
19084_8#84,2008.5,13
19084_8#36,2009.5,13
19084_8#2,2009.5,13
19084_8#18,2009.5,13
19084_7#154,2008.5,13
12291_1#45,2007.5,13
14913_5#42,2013.5,13
14913_3#83,2008.666667,13
14566_6#46,2011.166667,13
14555_4#21,2011.5,13
14410_8#72,2008.5,13
13415_7#2,2009.166667,13
12291_6#43,2012,13
12291_3#83,2009.5,13
9789_3#16,2005.583333,13
9716_7#17,2009.666667,13
12291_6#72,2012.333333,13
12837_3#76,2006.166667,13
12837_4#88,2006.333333,13
14257_1#61,2008.333333,13
17175_7#52,2014.083333,13
17870_7#109,2014.833333,13
12837_2#26,2005.083333,13
13470_1#11,2007.666667,13
12837_4#26,2006.166667,13
14566_6#77,2011.166667,13
15873_1#79,2009.666667,13
22667_7#180,2010.5,13
23164_8#113,2009.5,13
22841_1#108,2010.5,13
13670_3#15,2008.5,13
13091_6#9,2008.5,13
19084_8#34,2009.5,13
12838_1#88,2009.75,13
17059_7#35,2012.5,13
15995_2#123,2013.666667,13
15841_4#66,2011.333333,13
15841_2#9,2011.5,13
14566_6#45,2011.083333,13
14566_5#84,2010.5,13
14555_4#69,2011.333333,13
14555_4#52,2011.5,13
14412_2#9,2010.25,13
14412_2#51,2010.583333,13
14257_1#71,2008.333333,13
13415_8#77,2009.333333,13
12291_6#21,2012.166667,13
9789_3#54,2009.25,13
9789_2#64,2006.833333,13
9716_7#22,2009.25,13
9716_7#12,2009.333333,13
18456_1#99,2006,13
17870_8#92,2007.25,13
17175_7#18,2014.166667,13
17175_6#39,2010.666667,13
17175_6#20,2010.5,13
17175_5#77,2010.5,13
17150_5#69,2010.5,13
17150_4#16,2010.333333,13
17059_7#47,2012.5,13
15995_2#183,2013.75,13
15995_1#57,2009.75,13
15873_1#36,2011.666667,13
15873_1#26,2011.5,13
15841_1#58,2009.75,13
15378_3#5,2009.833333,13
15378_3#23,2009.5,13
15378_2#90,2003.833333,13
15378_2#13,2009.916667,13
14936_5#83,2007.916667,13
14936_4#76,2013.083333,13
14913_6#85,2011.333333,13
14913_3#91,2008.666667,13
14913_3#20,2008.666667,13
14723_6#51,2008.5,13
14723_4#90,2008.5,13
14723_4#35,2010.5,13
14566_6#53,2011.083333,13
14566_6#49,2010.833333,13
14566_5#76,2010.5,13
14555_4#68,2011.583333,13
14555_4#3,2011.333333,13
14555_3#92,2007.75,13
14412_2#73,2010.25,13
14257_1#73,2008.083333,13
13415_8#93,2010.083333,13
13415_8#89,2010,13
13415_8#7,2009.333333,13
13415_6#82,2005.833333,13
13415_6#2,2007.583333,13
13415_5#86,2007.166667,13
13415_4#5,2007.083333,13
13414_8#81,2006.083333,13
13154_4#5,2005.833333,13
13154_4#47,2005.083333,13
12837_5#55,2005,13
12837_3#3,2005.666667,13
12837_1#9,2005.333333,13
12837_1#68,2005.333333,13
12837_1#60,2005.333333,13
12837_1#3,2005.25,13
12378_2#20,1997.166667,13
12291_6#22,2012.166667,13
12290_3#90,2009.583333,13
12162_1#92,2012.666667,13
12162_1#80,2012.833333,13
14410_8#9,2007.666667,13
14410_8#64,2008.5,13
12837_3#49,2005.916667,13
12162_1#69,2012.583333,13
17175_7#86,2014.25,13
15995_1#85,2009.75,13
15841_1#14,2009.333333,13
15731_8#25,2009.333333,13
15731_8#17,2009.333333,13
14913_2#28,2011.833333,13
14566_6#94,2011.166667,13
14566_6#68,2011.083333,13
14566_6#15,2011.166667,13
14555_3#29,2007.75,13
14555_3#15,2008,13
13415_7#82,2009.25,13
13415_5#49,2007.083333,13
12837_5#17,2006.333333,13
12837_2#60,2005.5,13
12837_2#31,2005.333333,13
12837_2#13,2005.583333,13
12837_1#75,2005.333333,13
12837_1#1,2005.333333,13
12162_1#39,2012.75,13
15841_2#42,2011.666667,13
17150_6#61,2010.833333,13
17150_6#54,2010.75,13
17150_5#36,2010.5,13
17138_4#79,2012.833333,13
17138_3#37,2010.75,13
15995_2#8,2013.5,13
15995_1#40,2009.666667,13
15874_1#79,2011.5,13
15841_4#61,2011.5,13
15841_1#56,2009.666667,13
15841_1#48,2009.666667,13
15841_1#43,2009.666667,13
14913_7#22,2013,13
14913_5#40,2013.583333,13
14723_6#8,2009.5,13
14723_6#7,2008.5,13
14723_6#34,2009.5,13
14723_6#26,2009.5,13
14723_6#20,2008.5,13
14723_6#14,2008.5,13
14723_4#75,2008.5,13
14723_4#69,2009.5,13
14723_4#65,2009.5,13
14723_4#60,2008.5,13
14723_4#41,2010.5,13
14723_4#36,2010.5,13
14723_4#18,2009.5,13
14723_3#94,2010.5,13
14566_6#9,2010.75,13
14566_6#60,2011.083333,13
14566_6#52,2011.083333,13
14566_5#46,2010.333333,13
14566_4#57,2008.5,13
14566_4#26,2008,13
14566_4#12,2009.666667,13
14555_3#81,2006.75,13
14555_3#5,2007.666667,13
14555_3#1,2007.833333,13
14412_1#37,2008.75,13
14410_8#47,2008.333333,13
13470_1#58,2007.666667,13
13470_1#27,2007.75,13
13415_7#70,2009.583333,13
13415_7#41,2009.166667,13
13415_6#57,2007.5,13
13414_8#19,2006.25,13
12837_4#9,2005.916667,13
12837_3#25,2005.916667,13
12291_6#90,2012,13
12291_6#83,2012,13
12291_6#44,2012,13
12162_1#74,2012.5,13
15841_5#91,2009.666667,13
13470_1#35,2007.75,13
12837_1#69,2005.333333,13
17150_5#77,2010.5,13
14913_6#46,2007.666667,13
17175_7#66,2014.25,13
17150_6#41,2014.333333,13
15995_2#105,2013.583333,13
15995_1#20,2009.75,13
15874_1#61,2011.333333,13
15874_1#59,2009.583333,13
15874_1#58,2009.75,13
15874_1#27,2009.75,13
15841_1#85,2009.333333,13
15731_8#53,2009.5,13
14913_5#2,2013.333333,13
14410_8#94,2008.333333,13
14723_4#47,2009.5,13
17175_5#28,2010.666667,13
17059_8#80,2012.666667,13
15841_3#77,2011.5,13
15841_3#35,2011.666667,13
15841_3#20,2011.666667,13
17150_4#18,2010.333333,13
17059_8#40,2012.666667,13
12837_4#62,2006.333333,13
9789_2#27,2009.833333,13
15531_2#58,2014.583333,13
9789_2#60,2000.5,13
9789_2#57,2005.916667,13
20287_5#130,2000.333333,13
17870_8#69,2007.25,13
17870_8#50,2004.5,13
17870_8#1,2006.583333,13
17870_7#163,2009.5,13
17870_7#146,2010.166667,13
15378_3#61,2009.5,13
15378_3#28,2010.25,13
15378_2#84,2007.666667,13
15378_2#71,2009.833333,13
15378_2#6,2007.833333,13
12378_2#82,2004.916667,13
12290_2#69,2009.333333,13
12290_2#47,2009.333333,13
14936_5#21,2007.5,13
13470_1#26,2007.666667,13
