ID,Date,GPSC
9789_5#22,2009.75,65
9789_3#80,2009.333333,65
18456_1#43,2014.333333,65
18456_1#169,2013.333333,65
18456_1#10,2014.5,65
17966_5#79,2014.666667,65
17966_5#77,2014.666667,65
17966_5#2,2015.166667,65
17966_5#19,2015.25,65
17966_5#17,2015.25,65
17870_8#184,2015.166667,65
17870_8#175,2015.083333,65
17870_8#168,2015.083333,65
17870_8#144,2012.5,65
17870_8#142,2012.5,65
17870_8#135,2013.583333,65
17870_8#123,2013.083333,65
17870_8#122,2013.25,65
17870_8#104,2007,65
17870_7#99,2014.75,65
17870_7#80,2014.833333,65
17870_7#70,2014.75,65
17870_7#54,2014.916667,65
17870_7#48,2014.75,65
17870_7#43,2014.666667,65
17870_7#153,2009.25,65
17870_7#139,2009.833333,65
17870_7#137,2009.833333,65
17870_7#136,2009.75,65
17870_7#131,2009.583333,65
17870_7#128,2009.333333,65
17870_7#113,2014.75,65
15531_4#31,2014.333333,65
15531_4#19,2014.333333,65
15531_4#18,2014.5,65
15531_4#13,2014.333333,65
15531_2#27,2009.666667,65
15531_2#23,2014.583333,65
15378_4#69,2009.333333,65
15378_4#60,2009.583333,65
15378_4#43,2014.166667,65
15378_4#39,2014.083333,65
15378_4#34,2014.5,65
15378_4#10,2010.5,65
15378_3#91,2009.75,65
15378_3#78,2009.333333,65
15378_3#70,2010.666667,65
15378_3#13,2009.75,65
15378_2#66,2006.583333,65
15378_2#15,2013.583333,65
14936_6#83,2014.5,65
14936_6#82,2014.5,65
14936_6#78,2014.333333,65
14936_6#75,2014.5,65
14936_6#67,2014.333333,65
14936_6#66,2014.333333,65
14936_6#63,2014.25,65
14936_6#60,2014.25,65
14936_6#53,2014.166667,65
14936_6#45,2014,65
14936_6#44,2014,65
14936_6#43,2014,65
14936_6#42,2014,65
14936_6#41,2014,65
14936_6#40,2014,65
14936_6#36,2013.833333,65
14936_6#34,2013.666667,65
14936_5#48,2009.583333,65
14936_5#47,2009.5,65
12378_2#89,2007.333333,65
12290_3#44,2006.333333,65
12290_3#36,2005.75,65
12290_3#29,2010.083333,65
