ID,Date,GPSC
15608_3#88,2013.916667,50
22841_4#151,2012.5,50
22841_3#155,2007.5,50
22841_3#116,2007.5,50
22841_2#8,2013.5,50
22841_2#161,2005.5,50
22027_1#73,2006.5,50
14673_2#75,2002,50
14673_2#44,2001.083333,50
15608_5#91,2008.25,50
15682_2#61,2013.333333,50
15682_2#22,2012.166667,50
15608_2#64,1998.833333,50
11822_1#76,1999.25,50
11657_2#56,1999.333333,50
22841_2#127,2014.5,50
22841_1#161,2013.5,50
11826_1#26,1999.833333,50
11822_1#69,1999.75,50
15682_2#34,2012.666667,50
15608_4#13,2014.25,50
15608_3#32,2012.166667,50
22841_3#88,2006.5,50
22841_2#21,2013.5,50
22667_7#154,2010.5,50
22027_1#161,2010.5,50
22027_1#138,2009.5,50
19084_8#154,1998.25,50
15608_2#82,1998.25,50
14673_2#6,2000,50
14673_1#31,2000.333333,50
13414_4#24,2001.166667,50
13414_4#18,2000.666667,50
12291_5#39,1998.083333,50
11826_1#57,1998.916667,50
11826_1#37,1998.083333,50
11826_1#30,1998,50
11822_1#32,1999.166667,50
11657_8#1,1999.833333,50
11657_2#2,1999.25,50
11511_7#16,1999.666667,50
15608_2#46,1999.916667,50
14673_2#28,2004.333333,50
14673_1#17,2001.333333,50
11822_1#47,1999.833333,50
11511_7#36,1999.916667,50
11822_1#11,1998.583333,50
11826_1#50,1999,50
11826_1#13,1998.916667,50
19084_8#159,1999,50
15608_3#27,1999.5,50
15608_2#66,1999.25,50
14673_3#25,2000.75,50
14673_3#14,2002.083333,50
14673_1#16,2001.333333,50
11657_2#18,1999.583333,50
11826_1#7,1998.75,50
11657_2#52,1998.25,50
12291_5#27,1999.166667,50
14673_3#88,2008,50
21127_1#60,2014.333333,50
