ID,Date,GPSC
19084_8#10,2009.5,61
19084_7#104,2008.5,61
13154_2#71,2008.5,61
12291_3#85,2009.5,61
9789_2#80,2010.583333,61
17870_8#129,2013.333333,61
17870_7#106,2014.75,61
15277_3#71,2004.833333,61
9789_5#5,2010.5,61
9789_2#72,2010.583333,61
17428_8#115,2009.333333,61
16399_7#9,2009.333333,61
16399_6#49,2009.333333,61
15531_6#56,2014,61
15531_6#4,2009.5,61
15531_5#4,2014.333333,61
14520_5#87,2010.166667,61
18456_1#26,2014.333333,61
17870_7#45,2014.666667,61
15378_3#11,2010.083333,61
12837_5#4,2006.333333,61
14410_7#81,2003.916667,61
14673_2#32,2004.833333,61
20925_3#5,2015,61
17059_8#27,2012.5,61
18090_5#40,2010.666667,61
17175_8#73,2014.333333,61
17175_6#54,2010.666667,61
17175_4#87,2013,61
17175_4#32,2013,61
17138_4#91,2013.5,61
17138_4#59,2012.583333,61
17138_4#15,2010.75,61
15995_2#83,2013.5,61
15841_4#47,2013.333333,61
15841_1#75,2009.666667,61
14913_7#25,2012.5,61
14913_4#28,2012,61
14913_4#26,2012.166667,61
14566_5#10,2010.333333,61
14566_4#68,2009.166667,61
17870_8#110,2014.166667,61
17870_7#92,2014.666667,61
15531_3#12,2012.166667,61
15378_4#20,2009.333333,61
12290_3#66,2010.583333,61
12837_2#16,2005.583333,61
15841_3#67,2011.666667,61
17150_5#92,2010.5,61
17175_7#85,2014.25,61
17175_7#84,2014.083333,61
14936_4#54,2013.333333,61
14936_4#38,2013.25,61
13415_5#75,2007.166667,61
14913_5#61,2013.5,61
13415_4#34,2007,61
17175_8#59,2014.5,61
17175_6#25,2010.333333,61
17059_7#83,2012.5,61
15841_2#70,2011.75,61
14913_5#22,2013.583333,61
21999_8#23,2013.166667,61
15608_2#83,1998.916667,61
21999_8#88,2013.583333,61
21999_8#4,2012.916667,61
21999_8#31,2013.25,61
21999_8#125,2013.916667,61
21999_8#103,2013.666667,61
21242_2#151,2012.25,61
21127_2#23,2008.5,61
21999_7#105,2012.333333,61
