ID,Date,GPSC
15608_2#92,1999.166667,27
11822_1#26,1999.25,27
11511_7#81,1998.833333,27
11511_7#5,1998.166667,27
11826_1#78,1999.833333,27
15277_1#4,2003,27
14723_4#31,2009.5,27
14723_4#14,2010.5,27
14555_3#78,2008.25,27
14412_2#66,2010.583333,27
14723_4#61,2008.5,27
13415_7#16,2006.5,27
15682_1#33,2009.666667,27
15608_4#31,2014.75,27
14673_3#51,2000,27
19084_8#157,1999.083333,27
15608_2#34,1998.583333,27
15682_2#19,2012.083333,27
22841_4#69,2012.5,27
22667_7#148,2009.5,27
22027_1#143,2009.5,27
17966_5#140,2009.916667,27
17966_5#135,2009.75,27
15608_4#73,2012.5,27
15608_4#41,2013.5,27
15608_3#26,1999.083333,27
14673_4#56,2009.833333,27
14673_4#48,2009.166667,27
14673_4#42,2009.25,27
14673_4#26,2009.833333,27
14673_3#78,2003.833333,27
14673_3#77,2006.166667,27
14673_3#55,2002.083333,27
14673_3#19,2002.25,27
14673_3#17,2001.25,27
14673_3#11,2001.833333,27
14673_2#95,2007.833333,27
14673_2#79,2006.166667,27
14673_2#50,2005.25,27
14673_1#66,2007.333333,27
13710_2#72,2008.25,27
13710_2#66,2000.833333,27
13414_4#23,2001,27
13414_3#41,2012.916667,27
13414_3#38,2012.75,27
13414_3#17,2012.333333,27
13414_2#94,2012.083333,27
13414_2#52,2012.25,27
13353_7#89,2012.916667,27
13154_3#22,2009.25,27
12299_1#10,2009.25,27
12291_5#69,2009.583333,27
12291_4#78,2009.833333,27
12291_4#60,2009.833333,27
12291_4#57,2009.583333,27
12291_4#41,2009.833333,27
12291_4#35,2009.916667,27
12291_4#31,2009.916667,27
12291_4#21,2009.666667,27
11679_1#29,2009.75,27
11657_4#36,2009,27
11657_4#24,2009.75,27
11657_2#47,1998.75,27
11657_2#29,1998,27
11657_2#10,1999,27
11657_1#85,1999.25,27
11511_8#46,2009.083333,27
11511_8#22,2009.833333,27
11511_7#85,1998.833333,27
11511_7#75,1999.083333,27
11511_7#67,1999.333333,27
11511_7#66,1999.25,27
11511_7#17,1999.75,27
11511_7#10,1999.25,27
15608_3#5,1998.75,27
14673_3#79,2006.75,27
14673_3#47,2000.166667,27
14673_2#53,2005.833333,27
14673_2#25,2000.166667,27
12291_4#64,2009,27
11658_1#16,1998.75,27
11657_2#39,1998.666667,27
14673_1#63,2007.833333,27
11658_2#94,2009.75,27
11657_2#19,1999.833333,27
11657_2#48,1999,27
13710_2#38,2012,27
15682_1#86,2011.166667,27
15682_1#34,2009.666667,27
15608_4#8,2014.166667,27
15608_4#6,2014.166667,27
23164_8#134,2009.5,27
22841_4#127,2011.5,27
22841_3#73,2006.5,27
22667_7#179,2010.5,27
15608_2#86,1998,27
15608_2#76,1998,27
15608_2#45,1999.833333,27
14913_3#29,2008.666667,27
14673_3#91,2002.833333,27
14673_3#59,2002.916667,27
14555_4#54,2011.333333,27
14520_6#49,2011.166667,27
14410_8#90,2008.333333,27
13414_1#22,2009.333333,27
11826_1#69,1999.25,27
11822_1#27,1999.833333,27
11791_1#22,1999.083333,27
11658_1#9,1999,27
11657_1#83,1999.333333,27
11511_8#44,1999.333333,27
11511_7#18,1999.166667,27
13154_2#89,2008.5,27
11658_2#46,2006.5,27
11658_2#13,2009.5,27
14555_3#35,2007.75,27
13415_5#72,2007.083333,27
13415_4#30,2007,27
