ID,Date,GPSC
19084_8#99,2008.5,115
19084_8#5,2009.5,115
12838_1#75,2008.5,115
11511_8#69,2007.5,115
19084_8#9,2009.5,115
19084_8#62,2008.5,115
19084_8#6,2009.5,115
19084_7#91,2007.5,115
19084_7#148,2008.5,115
13353_7#9,2012.25,115
13154_2#54,2008.5,115
12291_4#1,2009.5,115
12291_3#35,2008.5,115
11893_8#29,2009.5,115
11658_2#37,2007.5,115
15682_2#70,2013.75,115
15682_2#44,2012.833333,115
15682_2#37,2012.75,115
15682_1#92,2011.333333,115
15682_1#36,2009.75,115
17794_8#3,2009.5,115
14520_7#86,2012.5,115
14520_6#31,2011.083333,115
14520_6#14,2011.083333,115
14520_6#35,2011.083333,115
21242_2#128,2009.916667,115
