ID,Date,GPSC
19183_3#95,2009.916667,80
17794_7#118,2009.75,80
14520_4#91,2010.083333,80
14410_6#47,2012.083333,80
19646_1#31,2010.666667,80
19183_3#22,2009.333333,80
17794_8#94,2010.166667,80
17794_8#103,2009.583333,80
17794_7#127,2009.75,80
17428_8#144,2009.5,80
16399_5#7,2009.333333,80
15873_5#73,2009,80
15873_5#72,2009,80
15873_5#35,2009.166667,80
15873_3#65,2009.25,80
15873_2#42,2009.25,80
15531_4#73,2009.333333,80
15531_4#68,2009.333333,80
14520_7#67,2009.333333,80
15873_3#8,2009.333333,80
14520_7#70,2009.333333,80
14520_7#57,2009.25,80
14520_7#54,2009.25,80
17794_8#12,2009.166667,80
17794_7#14,2009.166667,80
17794_7#136,2009.25,80
17428_8#134,2009.333333,80
17428_8#111,2009.333333,80
16399_7#75,2009.333333,80
16399_5#46,2009.333333,80
15873_5#71,2009.083333,80
15531_5#61,2009.333333,80
19183_3#20,2009.333333,80
17794_7#109,2009.583333,80
17428_8#175,2009,80
17428_8#167,2009.583333,80
17428_8#156,2009.5,80
17428_8#137,2009.5,80
17428_8#135,2009.666667,80
16399_7#11,2009.333333,80
16399_5#26,2009.333333,80
16399_5#15,2009.083333,80
15873_5#68,2009.083333,80
14520_4#27,2009.166667,80
14410_4#2,2013.5,80
16399_7#70,2009.583333,80
16399_7#19,2009.75,80
16399_5#33,2009.916667,80
17794_8#31,2010.666667,80
15531_5#46,2011.916667,80
