ID,Date,GPSC
16288_8#87,2014.75,91
14520_7#7,2010.333333,91
17794_7#35,2010.666667,91
17428_8#186,2009.333333,91
16453_2#46,2009.333333,91
16453_2#39,2009,91
16399_7#53,2009.083333,91
16399_7#1,2011.75,91
15873_5#8,2009.25,91
14520_4#42,2009.25,91
14520_4#41,2009.166667,91
14520_4#26,2009.25,91
14520_4#11,2009.25,91
14410_6#45,2012.666667,91
14410_4#68,2013.333333,91
14410_4#24,2012.916667,91
17175_6#88,2010.5,91
17059_8#9,2012.666667,91
15995_2#74,2013.583333,91
20925_3#22,2015.833333,91
16288_4#48,2012.666667,91
17966_5#90,2014.916667,91
17966_5#68,2005.083333,91
15531_2#83,2010.083333,91
9789_3#77,2009.333333,91
9789_3#53,2009.166667,91
17870_7#130,2009.5,91
