ID,Date,GPSC
18456_1#162,2013.333333,117
17966_5#86,2014.833333,117
17966_5#56,2011.166667,117
17870_8#128,2013.333333,117
16453_2#19,2009.333333,117
15873_5#69,2009,117
15531_4#82,2008.916667,117
15531_3#87,2014.5,117
15378_4#24,2013.583333,117
14936_6#62,2014.25,117
14520_4#50,2009.166667,117
14520_4#47,2009.166667,117
17794_8#83,2010.083333,117
14520_7#37,2009.333333,117
14520_7#35,2009.5,117
16399_7#29,2009.25,117
15873_3#70,2009.25,117
15873_3#51,2009.333333,117
15873_3#36,2009.333333,117
15531_5#50,2012.5,117
15378_2#35,2012.166667,117
14520_5#62,2009.5,117
14520_4#68,2009.833333,117
14520_4#52,2009.25,117
14410_4#33,2012.333333,117
15531_6#25,2014.166667,117
