ID,Date,GPSC
16288_4#8,2012.333333,25
19952_3#181,2013.916667,25
18090_1#121,2009.5,25
17150_6#56,2014.333333,25
17138_5#65,2014.666667,25
17138_4#31,2013.75,25
17138_3#39,2012.333333,25
17059_8#5,2012.583333,25
17059_8#3,2012.5,25
17059_7#55,2012.5,25
17059_7#24,2012.583333,25
16288_8#15,2009.25,25
16288_6#52,2014.5,25
16288_6#12,2014.333333,25
16288_5#57,2014.333333,25
16288_5#47,2014.333333,25
16288_5#37,2014.666667,25
16288_5#22,2014.5,25
16288_3#65,2012.333333,25
15995_2#7,2013.666667,25
15995_2#48,2013.666667,25
15995_1#167,2013.5,25
15841_2#82,2011.666667,25
15277_1#46,1996.5,25
14913_4#69,2012.083333,25
14913_2#72,2012.083333,25
14566_6#56,2011.25,25
13415_8#86,2009.333333,25
17870_7#79,2014.75,25
16288_4#56,2012.75,25
17175_8#79,2014.333333,25
17175_8#43,2014.5,25
17175_7#53,2014.083333,25
17175_7#30,2014.083333,25
17175_7#21,2014,25
17175_6#13,2010.583333,25
17175_6#1,2010.5,25
17175_5#72,2010.583333,25
17175_5#47,2010.333333,25
17175_4#40,2013,25
17150_6#57,2014.333333,25
17150_6#26,2014.75,25
17150_6#1,2014.333333,25
17150_4#94,2010.333333,25
17150_4#3,2013,25
17138_4#78,2012.666667,25
17138_4#75,2008.5,25
17138_4#74,2010.5,25
17138_4#30,2012.75,25
17138_3#64,2012.333333,25
17138_3#53,2010.833333,25
17059_8#67,2012.5,25
17059_8#6,2012.333333,25
17059_8#41,2012.666667,25
17059_8#33,2012.666667,25
17059_8#30,2012.333333,25
17059_8#26,2012.75,25
17059_7#9,2012.583333,25
17059_7#89,2012.666667,25
17059_7#85,2012.5,25
17059_7#82,2012.333333,25
17059_7#7,2012.5,25
17059_7#66,2012.333333,25
17059_6#94,2012.333333,25
17059_6#20,2013.75,25
15995_2#72,2013.833333,25
15995_2#71,2013.666667,25
15995_2#54,2013.666667,25
15995_2#189,2013.75,25
15995_2#125,2013.75,25
15995_2#120,2013.75,25
15874_1#26,2009.75,25
15874_1#13,2011.333333,25
15873_1#76,2011.666667,25
15873_1#63,2009.666667,25
15873_1#42,2011.5,25
15841_6#38,2012.25,25
15841_5#9,2009.666667,25
15841_5#80,2013.833333,25
15841_5#76,2011.333333,25
15841_5#70,2011.333333,25
15841_5#54,2011.333333,25
15841_5#52,2011.333333,25
15841_5#40,2011.333333,25
15841_4#87,2013.5,25
15841_3#52,2011.666667,25
15731_8#92,2009.5,25
14936_4#9,2013.166667,25
14936_4#6,2013.333333,25
14913_7#50,2012.583333,25
14913_7#43,2011.5,25
14913_5#53,2013.5,25
14913_5#31,2013.583333,25
14913_5#18,2013.333333,25
14913_4#89,2012.166667,25
14913_4#87,2012.333333,25
14913_4#80,2012.333333,25
14913_4#68,2012,25
14913_4#66,2012.166667,25
14913_4#46,2012.333333,25
14913_4#35,2012.25,25
14913_4#3,2012.166667,25
14913_2#8,2011.583333,25
14566_6#29,2011.083333,25
14566_5#35,2010.5,25
14566_5#15,2010.25,25
14412_2#85,2010.666667,25
14412_2#83,2010.583333,25
14412_2#79,2010.75,25
14257_1#21,2008.333333,25
13415_6#52,2009.5,25
15995_2#66,2013.583333,25
