ID,Date,GPSC
19646_1#36,2010.75,103
19646_1#35,2010.75,103
17794_8#77,2010.666667,103
17794_8#65,2010.666667,103
17794_7#8,2009.333333,103
17794_7#5,2009.333333,103
17794_7#34,2010.666667,103
17794_7#177,2009.666667,103
17428_8#128,2009.666667,103
17428_8#127,2009.666667,103
16399_7#34,2009.5,103
16399_6#30,2009.333333,103
16399_6#24,2008.916667,103
16399_5#41,2009.333333,103
15873_5#86,2008.916667,103
15873_5#77,2009,103
15873_4#2,2009,103
15873_3#39,2010,103
15873_3#31,2009,103
15531_6#15,2013.666667,103
15531_5#84,2009.333333,103
15378_2#36,2009.666667,103
14520_5#39,2009.5,103
14520_4#75,2010,103
14520_4#29,2008.833333,103
14410_7#28,2008.916667,103
14520_5#81,2010,103
15531_6#6,2009.5,103
17794_7#26,2010.666667,103
16453_2#36,2009.083333,103
16453_2#29,2009.333333,103
16399_7#17,2009.333333,103
