ID,Date,GPSC
15682_2#24,2012.333333,3
11658_8#4,2009.166667,3
19341_2#94,1997.5,3
18090_2#54,2000.5,3
18090_2#49,2000.5,3
18090_2#163,1997.5,3
18090_2#55,2000.5,3
18090_2#51,2000.5,3
18090_2#48,2000.5,3
18090_2#151,1998.5,3
19084_8#147,1999.333333,3
15277_1#16,2001.333333,3
14723_6#90,2012.5,3
14723_6#79,2012.5,3
13414_1#81,2012.583333,3
11822_1#25,1999.25,3
11511_7#49,1999.916667,3
22841_2#57,2014.5,3
22841_1#50,2011.5,3
13414_2#21,2012.083333,3
19084_8#134,2009.166667,3
19084_7#14,2013.5,3
17794_7#85,2009.833333,3
14673_4#63,2009.833333,3
14673_4#35,2009,3
14673_2#60,2002.833333,3
14673_2#15,2004.166667,3
14673_1#87,2008.083333,3
14673_1#4,2012.916667,3
14673_1#3,2012.333333,3
13414_3#55,2012,3
13414_3#11,2012.333333,3
13414_2#69,2012.333333,3
13414_2#38,2012.5,3
13414_2#14,2012.25,3
13414_2#12,2012.25,3
13414_1#87,2012.75,3
13353_7#64,2012.083333,3
13353_7#58,2012.666667,3
12291_5#6,2009,3
11658_8#3,2009.083333,3
11657_8#30,2009.166667,3
21127_1#90,2014.166667,3
12291_5#44,2009.833333,3
17175_7#68,2014.083333,3
13710_2#71,2005.333333,3
15608_2#58,1999.25,3
17150_6#9,2014.333333,3
17138_3#71,2014.75,3
14555_3#26,2007.666667,3
17175_8#3,2014.25,3
17138_3#66,2012.583333,3
14566_6#51,2011.25,3
14412_2#37,2010.583333,3
22841_4#49,2011.5,3
22841_4#178,2012.5,3
22841_2#159,2005.5,3
22841_1#154,2013.5,3
22667_8#59,2009.5,3
22667_7#124,2010.5,3
22114_6#81,2008.5,3
22114_6#13,2007.5,3
22027_1#28,2005.5,3
22841_2#20,2013.5,3
22027_1#91,2008.5,3
22027_1#82,2006.5,3
19341_2#171,2010.5,3
18090_2#76,2000.5,3
15682_1#19,2009,3
17175_7#49,2014.333333,3
17175_6#63,2010.333333,3
17175_4#93,2012.666667,3
17175_4#3,2012.333333,3
17138_4#54,2012.666667,3
17138_4#18,2014.833333,3
17138_3#2,2012.333333,3
15841_2#15,2011.75,3
15531_6#50,2014.333333,3
15531_6#39,2014.333333,3
14936_4#11,2013.166667,3
14913_7#79,2013.083333,3
14913_7#42,2012.583333,3
14913_5#43,2013.5,3
14913_4#8,2012.333333,3
14913_4#72,2012.333333,3
14913_3#49,2008.583333,3
14913_3#2,2009.833333,3
14913_2#53,2011.916667,3
14913_2#26,2011.75,3
14913_2#23,2011.916667,3
14566_5#52,2010.5,3
14555_3#73,2006.75,3
14412_1#50,2006.666667,3
14412_1#23,2008.833333,3
14410_8#14,2008.583333,3
14257_1#27,2008.25,3
12837_4#54,2006.333333,3
23164_8#74,2013.5,3
22841_4#77,2012.5,3
22841_4#52,2011.5,3
22841_4#4,2010.5,3
22841_2#99,2014.5,3
22841_2#116,2013.5,3
22841_1#115,2013.5,3
22841_1#113,2013.5,3
22027_1#136,2009.5,3
14566_5#4,2010.5,3
22027_1#20,2005.5,3
22027_1#115,2009.5,3
21053_8#160,2013.833333,3
21053_8#128,2011.333333,3
19084_8#53,2008.5,3
19084_7#15,2013.5,3
17966_5#136,2009.75,3
15608_2#65,1998,3
14913_5#69,2013.583333,3
14673_4#67,2009.75,3
12291_3#5,2008.5,3
12291_1#53,2007.5,3
12291_1#43,2007.5,3
21999_8#38,2013.333333,3
19084_7#57,2014.5,3
12837_4#73,2006.5,3
14913_6#81,2013.666667,3
14412_2#93,2010.666667,3
12837_4#18,2005.833333,3
22841_4#90,2012.5,3
15682_2#4,2011.75,3
15608_2#37,1999.666667,3
15277_1#9,2002.25,3
14673_4#41,2009.166667,3
14673_3#39,2005.333333,3
14673_1#57,2006.583333,3
14412_2#49,2010.25,3
13414_4#41,2005.166667,3
13414_4#31,2005.333333,3
13414_2#68,2012.333333,3
13414_2#57,2012.333333,3
13414_2#42,2012.75,3
13414_2#4,2012,3
13414_2#2,2012,3
13414_1#26,2009.583333,3
12299_1#15,2009.25,3
12291_4#54,2009.916667,3
11826_1#10,1999.083333,3
11657_8#29,2009.083333,3
11657_8#15,2009.833333,3
11511_8#34,2009,3
15608_4#51,1997.25,3
13414_2#74,2012.083333,3
13414_3#34,2012.5,3
15682_2#39,2012.75,3
22841_2#2,2013.5,3
22841_1#183,2012.5,3
21999_8#65,2013.333333,3
21999_7#172,2012.75,3
21999_7#127,2012.5,3
21127_2#68,2008.666667,3
21127_1#58,2014.333333,3
21127_1#23,2012.75,3
21127_1#16,2014.75,3
19084_7#152,2008.5,3
19084_7#137,2008.5,3
19084_7#112,2008.5,3
18090_1#132,2010.5,3
17966_5#146,2012.083333,3
17175_7#55,2014.333333,3
16043_2#85,2003.833333,3
15608_4#52,1997.666667,3
15608_3#2,1999.083333,3
14673_4#69,2009.333333,3
14673_4#38,2009.166667,3
14673_3#74,2003.25,3
14673_3#70,2006.166667,3
14673_3#62,2001.916667,3
14673_2#73,2003.083333,3
14673_2#5,2002.916667,3
13710_2#7,2012.083333,3
13710_2#54,2012.333333,3
13710_2#14,2012.5,3
13710_1#71,2012.833333,3
13710_1#26,2012.75,3
13710_1#19,2012.5,3
13414_3#29,2012.75,3
13414_2#32,2012.833333,3
13414_1#11,2009.333333,3
13353_7#90,2012.916667,3
13353_7#72,2012.333333,3
13353_7#65,2012.083333,3
12838_1#85,2009.083333,3
12299_1#40,2009.916667,3
12291_5#2,2009.916667,3
12291_3#12,2008.5,3
11826_1#39,1998.083333,3
11822_1#88,1998.083333,3
11658_8#10,2010.5,3
19341_3#79,2009.5,3
19341_3#6,2011.5,3
15682_2#45,2012.833333,3
18090_2#5,2000.5,3
19084_8#66,2009.5,3
12291_3#78,2009.5,3
13710_1#67,2012.333333,3
15608_4#66,2013.5,3
14673_4#45,2009.583333,3
15608_3#11,1999.083333,3
22841_3#141,2007.5,3
22841_3#112,2007.5,3
22841_2#30,2013.5,3
22841_2#108,2013.5,3
22841_1#33,2010.5,3
22667_8#58,2009.5,3
22667_7#189,2009.5,3
22667_7#170,2009.5,3
22027_1#156,2009.5,3
21999_8#99,2013.666667,3
21999_8#45,2013.333333,3
21999_8#39,2013.333333,3
21999_7#170,2012.75,3
21999_7#114,2012.333333,3
21127_2#164,2009.5,3
19084_8#119,2005.333333,3
17794_7#67,2009.5,3
17175_8#86,2014.166667,3
17175_8#54,2014.333333,3
17175_8#53,2014.583333,3
17175_8#46,2014.333333,3
17175_8#4,2014.333333,3
17175_8#35,2014.5,3
17175_8#34,2014.5,3
17175_8#26,2014.5,3
17175_8#18,2014.5,3
17175_8#14,2014.25,3
17175_7#51,2014.25,3
17175_7#36,2014.083333,3
17175_7#33,2014.333333,3
17175_7#25,2014.333333,3
17175_7#20,2014.083333,3
17175_7#16,2014.25,3
17175_6#9,2010.333333,3
17175_4#82,2012.333333,3
17175_4#4,2012.666667,3
17150_6#6,2014.5,3
17150_6#51,2014.666667,3
17150_6#12,2014.5,3
17150_5#49,2014.166667,3
17138_3#59,2012.75,3
17138_3#32,2014.916667,3
15995_2#61,2013.666667,3
15995_2#21,2013.666667,3
15995_1#132,2013.333333,3
15874_1#47,2011.5,3
15841_5#37,2011.333333,3
15841_5#18,2009.666667,3
15841_4#95,2013.333333,3
15841_2#14,2011.75,3
14936_4#92,2013.166667,3
14936_4#60,2013.333333,3
14936_4#56,2013.333333,3
14936_4#53,2013.333333,3
14936_4#43,2013.25,3
14936_4#26,2013.166667,3
14913_7#95,2013.083333,3
14913_7#81,2012.5,3
14913_7#75,2011.583333,3
14913_7#68,2012.583333,3
14913_7#57,2012.5,3
14913_7#56,2013.166667,3
14913_7#53,2012.666667,3
14913_7#1,2012.5,3
14913_6#89,2013.666667,3
14913_6#65,2013.666667,3
14913_5#81,2013.333333,3
14913_5#77,2013.583333,3
14913_5#7,2013.583333,3
14913_5#63,2013.583333,3
14913_5#55,2013.583333,3
14913_5#51,2013.5,3
14913_5#16,2013.583333,3
14913_5#15,2013.583333,3
14913_4#95,2012.333333,3
14913_4#88,2012.333333,3
14913_4#75,2012.25,3
14913_4#70,2012.333333,3
14913_4#7,2012.333333,3
14913_4#65,2012.166667,3
14913_4#59,2012.25,3
14913_4#58,2012.166667,3
14913_4#31,2012.333333,3
14913_3#63,2011.583333,3
14913_3#45,2008.666667,3
14913_3#3,2008.916667,3
14913_3#19,2008.666667,3
14913_2#92,2011.833333,3
14913_2#44,2011.833333,3
14723_6#4,2009.5,3
14723_4#71,2008.5,3
14673_3#53,2002.833333,3
14566_6#82,2011,3
14566_6#70,2011.083333,3
14555_4#53,2011.583333,3
14555_4#23,2011.333333,3
14555_3#72,2006.333333,3
14555_3#59,2007.75,3
14555_3#48,2008,3
14412_2#81,2010.25,3
14412_2#52,2010.5,3
14412_1#40,2008.833333,3
14410_8#62,2008.583333,3
14410_8#38,2008.583333,3
14257_1#42,2008.166667,3
13415_8#79,2009.333333,3
13415_8#59,2010.083333,3
13415_7#81,2009.166667,3
13415_7#44,2009.25,3
13415_6#37,2009.5,3
13415_5#24,2007.083333,3
13414_8#82,2006.25,3
13414_8#79,2006.583333,3
13414_8#71,2006.5,3
13414_8#27,2006.25,3
13414_1#8,2009.25,3
12837_5#12,2006.333333,3
12837_3#80,2005.75,3
12837_3#74,2005.916667,3
12837_3#72,2005.75,3
12837_3#6,2005.583333,3
12837_2#58,2005.25,3
12837_2#56,2005.583333,3
12837_2#3,2005.166667,3
12837_1#63,2005.583333,3
15608_4#1,2014.083333,3
15608_3#67,2013.583333,3
21053_8#129,2011.5,3
17175_8#56,2014.083333,3
17175_7#37,2014.333333,3
17175_7#10,2014.166667,3
17175_4#37,2012.833333,3
17150_5#88,2014.166667,3
14936_4#77,2013.333333,3
14936_4#44,2013.333333,3
14936_4#31,2013.333333,3
